dish_id,total_calories,total_mass,total_fat,total_carbs,total_protein,ingredients,sorted_ingredients,GPTFoodDescription,GPTFoodCode,GPTAmount,GPTAmountWeight,Energy (kcal),Protein (g),Carbohydrate (g),Total Fat (g),FoodCodeError,WeightError,IngredientNum,GPTWeight
dish_1567023335,138.336395,117,12.019873,5.832454,3.287284,"greek salad, garlic, salt, pecans, raspberries, mustard, olive oil, almonds, blueberries, arugula, vinegar, chard, carrot","almonds, arugula, blueberries, carrot, chard, garlic, greek salad, mustard, olive oil, pecans, raspberries, salt, vinegar","curly kale leaves
arugula leaves
Swiss chard stems
sliced cucumber
sliced almonds
crumbled feta cheese",curly kale leaves: 72119190; arugula leaves: 75113080; Swiss chard stems: 72104100; sliced cucumber: 75111000; sliced almonds: 42100100; crumbled feta cheese: 14104400,"curly kale leaves: 1 cup
arugula leaves: 0.5 cup
Swiss chard stems: 1 leaf
sliced cucumber: 1 piece/slice
sliced almonds: 4 nut
crumbled feta cheese: 1 cubic inch","{'curly kale leaves': 25.0, 'arugula leaves': 10.0, 'swiss chard stems': 48.0, 'sliced cucumber': 10.0, 'sliced almonds': 4.8, 'crumbled feta cheese': 17.0}",97.624,5.33878,5.29628,6.72072,0,0,6,114.8
dish_1561404956,97.600792,82,2.638521,4.593264,13.654346,"green onions, white rice, vinegar, ginger, parmesan cheese, soy sauce, croutons, chicken, spinach (raw), green beans, kale, caesar dressing, olive oil, salt, garlic, broccoli","broccoli, caesar dressing, chicken, croutons, garlic, ginger, green beans, green onions, kale, olive oil, parmesan cheese, salt, soy sauce, spinach (raw), vinegar, white rice","roasted chicken thigh (skin-on)
sautéed kale
shaved Parmesan cheese",roasted chicken thigh (skin-on): 24152230; sautéed kale: 72119221; shaved Parmesan cheese: 14108020,"roasted chicken thigh (skin-on): unknown
sautéed kale: 1 cup
shaved Parmesan cheese: 1 tablespoon","{'roasted chicken thigh (skin-on)': nan, 'sautéed kale': 135.0, 'shaved parmesan cheese': 5.0}",114.15,5.5975,6.843500000000001,7.1915000000000004,0,1,3,140.0
dish_1563220109,184.735962,174,7.398599,22.408951,8.018723,"pepperoni pizza, salt, olive oil, squash, broccoli","broccoli, olive oil, pepperoni pizza, salt, squash","pepperoni (sliced)
mozzarella cheese (melted)
tomato sauce
pizza crust (baked)
steamed broccoli florets
roasted squash pieces (with skin)",pepperoni (sliced): 25221250; mozzarella cheese (melted): 14107010; tomato sauce: 89901050; pizza crust (baked): 58107050; steamed broccoli florets: 72201211; roasted squash pieces (with skin): 73303010,"pepperoni (sliced): 1 slice
mozzarella cheese (melted): 0.25 cup, melted
tomato sauce: 0.125 Guideline amount per cup of vegetable
pizza crust (baked): unknown
steamed broccoli florets: 3 floweret
roasted squash pieces (with skin): 0.5 cup","{'pepperoni (sliced)': 2.0, 'mozzarella cheese (melted)': 61.0, 'tomato sauce': 7.5, 'pizza crust (baked)': nan, 'steamed broccoli florets': 30.0, 'roasted squash pieces (with skin)': 112.5}",252.36500000000004,16.680249999999997,15.513499999999999,14.3296,0,1,6,213.0
dish_1561662501,158.395508,165,7.063837,21.929186,6.882387,"olive oil, pepper, corn on the cob, vinegar, cherry tomatoes, salt, mixed greens, lettuce, lime, cucumbers, onions, tofu","cherry tomatoes, corn on the cob, cucumbers, lettuce, lime, mixed greens, olive oil, onions, pepper, salt, tofu, vinegar","cubed tofu
baby spinach leaves
halved cherry tomatoes
corn on the cob slices",cubed tofu: 41420010; baby spinach leaves: 72125100; halved cherry tomatoes: 74101000; corn on the cob slices: 75216111,"cubed tofu: unknown
baby spinach leaves: unknown
halved cherry tomatoes: 1 whole
corn on the cob slices: 0.25 regular ear","{'cubed tofu': nan, 'baby spinach leaves': nan, 'halved cherry tomatoes': 125.0, 'corn on the cob slices': 26.25}",47.575,1.88075,9.943000000000001,0.7418750000000001,0,2,4,151.25
dish_1565036821,325.539917,134,14.517972,25.940332,21.035995,"soy sauce, salt, vinegar, olive oil, beef, white rice, orange juice, chili, green onions, broccoli, garlic, kale, cheese pizza, onions","beef, broccoli, cheese pizza, chili, garlic, green onions, kale, olive oil, onions, orange juice, salt, soy sauce, vinegar, white rice","melted mozzarella cheese
tomato pizza sauce
baked pizza dough (pizza crust)
cooked sliced beef (rolled)
green onion (scallion)",melted mozzarella cheese: 14107010; tomato pizza sauce: 74404010; baked pizza dough (pizza crust): 58107050; cooked sliced beef (rolled): 27411150; green onion (scallion): 75117010,"melted mozzarella cheese: 0.5 cup, melted
tomato pizza sauce: unknown
baked pizza dough (pizza crust): unknown
cooked sliced beef (rolled): 2 beef roll
green onion (scallion): 1 whole","{'melted mozzarella cheese': 122.0, 'tomato pizza sauce': nan, 'baked pizza dough (pizza crust)': nan, 'cooked sliced beef (rolled)': 268.0, 'green onion (scallion)': 15.0}",885.84,84.2893,23.964599999999997,49.2241,0,2,5,405.0
dish_1566934430,519.542847,361,43.782825,37.582497,49.058041,"chive, fish, pepper, garlic, onions, bell peppers, lime, artichokes, arugula, olive oil, parsley, snow peas, cookies, white beans, salt, cheese pizza","artichokes, arugula, bell peppers, cheese pizza, chive, cookies, fish, garlic, lime, olive oil, onions, parsley, pepper, salt, snow peas, white beans",No ingredients identified. GPT response was: ,No ingredients identified. GPT response was:: 00000000,No ingredients identified. GPT response was:: unknown,{'no ingredients identified. gpt response was': nan},,,,,0,1,1,0.0
dish_1573762622,0.0,477,0.0,0.0,0.0,"brisket, olive oil, mozzarella cheese, mashed potatoes, butter, basil","basil, brisket, butter, mashed potatoes, mozzarella cheese, olive oil",No ingredients identified. GPT response was: ,No ingredients identified. GPT response was:: 00000000,No ingredients identified. GPT response was:: unknown,{'no ingredients identified. gpt response was': nan},,,,,0,1,1,0.0
dish_1561574974,50.130196,152,1.788235,8.792157,1.490196,"eggplant, olive oil, salt","eggplant, olive oil, salt","pan-fried eggplant
frisée (curly endive)",pan-fried eggplant: 75412010; frisée (curly endive): 72116000,"pan-fried eggplant: unknown
frisée (curly endive): 1 leaf","{'pan-fried eggplant': nan, 'frisée (curly endive)': 13.0}",1.9500000000000002,0.1768,0.37310000000000004,0.0195,0,1,2,13.0
dish_1562788010,67.643532,182,1.845235,11.571823,2.97953,"salt, caesar salad, eggplant, olive oil, cantaloupe","caesar salad, cantaloupe, eggplant, olive oil, salt","romaine lettuce (raw leaves)
cantaloupe, cubed
roasted eggplant, cubed
creamy salad dressing","romaine lettuce (raw leaves): 72116000; cantaloupe, cubed: 63109010; roasted eggplant, cubed: 75217010; creamy salad dressing: 32103030","romaine lettuce (raw leaves): unknown
cantaloupe, cubed: 1 cup
roasted eggplant, cubed: 0.5 cup
creamy salad dressing: 0.125 cup","{'romaine lettuce (raw leaves)': nan, 'cantaloupe, cubed': 155.0, 'roasted eggplant, cubed': 47.5, 'creamy salad dressing': 27.75}",130.555,4.591925,16.2288,5.27545,0,1,4,230.25
dish_1564690138,190.499496,181,6.844433,24.872919,10.031026,"pears, garlic, lentils, arugula, green beans, parsley, lemon juice, olive oil, salt, chickpeas, pepper","arugula, chickpeas, garlic, green beans, lemon juice, lentils, olive oil, parsley, pears, pepper, salt","sautéed green beans
falafel (fried chickpea patties)
cooked chickpeas (garbanzo beans)
raw arugula (rocket)",sautéed green beans: 75205044; falafel (fried chickpea patties): 41209000; cooked chickpeas (garbanzo beans): 41302020; raw arugula (rocket): 75113080,"sautéed green beans: unknown
falafel (fried chickpea patties): 2 patty
cooked chickpeas (garbanzo beans): 9 pea
raw arugula (rocket): 0.5 cup","{'sautéed green beans': nan, 'falafel (fried chickpea patties)': 34.0, 'cooked chickpeas (garbanzo beans)': 18.0, 'raw arugula (rocket)': 10.0}",206.60000000000002,4.659,15.118200000000002,14.535,0,1,4,62.0
