dish_id,total_calories,total_mass,total_fat,total_carbs,total_protein,ingredients,sorted_ingredients
dish_1567023335,138.336395,117,12.019873,5.832454,3.287284,"greek salad, garlic, salt, pecans, raspberries, mustard, olive oil, almonds, blueberries, arugula, vinegar, chard, carrot","almonds, arugula, blueberries, carrot, chard, garlic, greek salad, mustard, olive oil, pecans, raspberries, salt, vinegar"
dish_1561404956,97.600792,82,2.638521,4.593264,13.654346,"green onions, white rice, vinegar, ginger, parmesan cheese, soy sauce, croutons, chicken, spinach (raw), green beans, kale, caesar dressing, olive oil, salt, garlic, broccoli","broccoli, caesar dressing, chicken, croutons, garlic, ginger, green beans, green onions, kale, olive oil, parmesan cheese, salt, soy sauce, spinach (raw), vinegar, white rice"
dish_1563220109,184.735962,174,7.398599,22.408951,8.018723,"pepperoni pizza, salt, olive oil, squash, broccoli","broccoli, olive oil, pepperoni pizza, salt, squash"
dish_1561662501,158.395508,165,7.063837,21.929186,6.882387,"olive oil, pepper, corn on the cob, vinegar, cherry tomatoes, salt, mixed greens, lettuce, lime, cucumbers, onions, tofu","cherry tomatoes, corn on the cob, cucumbers, lettuce, lime, mixed greens, olive oil, onions, pepper, salt, tofu, vinegar"
dish_1565036821,325.539917,134,14.517972,25.940332,21.035995,"soy sauce, salt, vinegar, olive oil, beef, white rice, orange juice, chili, green onions, broccoli, garlic, kale, cheese pizza, onions","beef, broccoli, cheese pizza, chili, garlic, green onions, kale, olive oil, onions, orange juice, salt, soy sauce, vinegar, white rice"
dish_1566934430,519.542847,361,43.782825,37.582497,49.058041,"chive, fish, pepper, garlic, onions, bell peppers, lime, artichokes, arugula, olive oil, parsley, snow peas, cookies, white beans, salt, cheese pizza","artichokes, arugula, bell peppers, cheese pizza, chive, cookies, fish, garlic, lime, olive oil, onions, parsley, pepper, salt, snow peas, white beans"
dish_1573762622,0,477,0,0,0,"brisket, olive oil, mozzarella cheese, mashed potatoes, butter, basil","basil, brisket, butter, mashed potatoes, mozzarella cheese, olive oil"
dish_1561574974,50.130196,152,1.788235,8.792157,1.490196,"eggplant, olive oil, salt","eggplant, olive oil, salt"
dish_1562788010,67.643532,182,1.845235,11.571823,2.97953,"salt, caesar salad, eggplant, olive oil, cantaloupe","caesar salad, cantaloupe, eggplant, olive oil, salt"
dish_1564690138,190.499496,181,6.844433,24.872919,10.031026,"pears, garlic, lentils, arugula, green beans, parsley, lemon juice, olive oil, salt, chickpeas, pepper","arugula, chickpeas, garlic, green beans, lemon juice, lentils, olive oil, parsley, pears, pepper, salt"
dish_1560368815,400.337677,442,33.12727,21.281317,11.468402,"mixed greens, carrot, arugula, mustard, garlic, radishes, blueberries, eggplant, vinegar, tofu, spinach (raw), olive oil, pumpkin seeds, asparagus, salt, lettuce","arugula, asparagus, blueberries, carrot, eggplant, garlic, lettuce, mixed greens, mustard, olive oil, pumpkin seeds, radishes, salt, spinach (raw), tofu, vinegar"
dish_1572625898,0,271,0,0,0,"bacon, scrambled eggs, fried rice, salsa, zucchini","bacon, fried rice, salsa, scrambled eggs, zucchini"
dish_1562602945,308.372284,492,6.017155,45.249252,19.971214,"greek yogurt, milk, watermelon, sweet potato, egg whites, strawberries, berries, chia seeds","berries, chia seeds, egg whites, greek yogurt, milk, strawberries, sweet potato, watermelon"
dish_1565884766,469.609009,546,12.795,34.176998,47.687,"watermelon, waffles, egg whites","egg whites, waffles, watermelon"
dish_1559844657,122.110001,167,0.248,29.200001,2.287,"potatoes, grapes","grapes, potatoes"
dish_1572627130,0,231,0,0,0,"scrambled eggs, salsa","salsa, scrambled eggs"
dish_1565033220,908.60498,578,59.342999,19.202002,76.664001,"mixed greens, olives, broccoli, chicken, vinaigrette","broccoli, chicken, mixed greens, olives, vinaigrette"
dish_1565119493,529.144897,280,24.306738,46.864986,29.865883,"mustard, olive oil, onions, vinegar, beef, caesar salad, bok choy, shallots, apple, millet, salt, cheese pizza, cranberries, spinach (raw), spinach (cooked)","apple, beef, bok choy, caesar salad, cheese pizza, cranberries, millet, mustard, olive oil, onions, salt, shallots, spinach (cooked), spinach (raw), vinegar"
dish_1561049435,338.179993,257,22.427,13.217999,20.822001,"raspberries, cantaloupe, scrambled eggs, bacon","bacon, cantaloupe, raspberries, scrambled eggs"
dish_1560356523,497.719971,92,38.639999,1.288,34.040001,bacon,bacon
dish_1565981848,147.410431,198,11.091943,8.199256,15.093219,"carrot, parsley, salt, lemon juice, chive, garlic, olive oil, shallots, wheat berry, cherry tomatoes, tofu, pepper, fish, chard","carrot, chard, cherry tomatoes, chive, fish, garlic, lemon juice, olive oil, parsley, pepper, salt, shallots, tofu, wheat berry"
dish_1564686702,307.944977,130,12.545,36.75,11.96,"cheese pizza, olives","cheese pizza, olives"
dish_1559844951,274.335999,122,17.906,22.792,9.784,"almonds, potatoes","almonds, potatoes"
dish_1560367116,108.409973,211,6.256616,12.151617,9.205687,"green onions, salt, tofu, country rice, onions, garlic, honeydew melons, olive oil, fish, cherry tomatoes","cherry tomatoes, country rice, fish, garlic, green onions, honeydew melons, olive oil, onions, salt, tofu"
dish_1560961059,268.459991,172,5.68,46.792999,7.6272,"cream cheese, bagels, sweet potato","bagels, cream cheese, sweet potato"
dish_1561663817,95.495369,86,4.993594,12.891619,2.099187,"salt, mixed greens, olive oil, lemon juice, onions, parsley, corn on the cob, vinegar, millet, apple","apple, corn on the cob, lemon juice, millet, mixed greens, olive oil, onions, parsley, salt, vinegar"
dish_1562010266,581.033081,284,34.7831,8.110199,55.645042,"olive oil, mayonnaise, wheat berry, pork, pepper, salt, cabbage, carrot, garlic, lemon juice, parsley, jalapenos","cabbage, carrot, garlic, jalapenos, lemon juice, mayonnaise, olive oil, parsley, pepper, pork, salt, wheat berry"
dish_1566414642,219.809998,145,7.812,14.580001,21.541,"roasted potatoes, chicken","chicken, roasted potatoes"
dish_1561491180,236.347488,217,18.691792,20.364334,21.251337,"shallots, fish, spinach (raw), blueberries, wheat berry, olive oil, lemon juice, mustard, salt, parsley, cherry tomatoes, chard, vinegar, radishes, wild rice, chive, garlic","blueberries, chard, cherry tomatoes, chive, fish, garlic, lemon juice, mustard, olive oil, parsley, radishes, salt, shallots, spinach (raw), vinegar, wheat berry, wild rice"
dish_1558113941,296.890015,78,24.862,12.834001,11.816001,"mixed greens, almonds","almonds, mixed greens"
dish_1564086658,260.852997,230,8.653,38.712002,11.198001,"cheese pizza, corn on the cob, caesar salad","caesar salad, cheese pizza, corn on the cob"
dish_1568313640,71.139999,145,3.652,8.9,3.152,"onions, mushroom, mixed greens, avocado","avocado, mixed greens, mushroom, onions"
dish_1561741090,161.540009,221,5.977,11.469999,15.538,"cottage cheese, cantaloupe","cantaloupe, cottage cheese"
dish_1560357832,181.351425,82,10.603177,17.474182,4.632458,"mustard, waffles, vinegar, cucumbers, spinach (raw), mustard greens, olive oil, salt, garlic, tomatoes","cucumbers, garlic, mustard, mustard greens, olive oil, salt, spinach (raw), tomatoes, vinegar, waffles"
dish_1562949205,80.220001,57,5.13,3.768,4.8,"cantaloupe, bacon","bacon, cantaloupe"
dish_1564169932,766.626526,473,37.374702,42.810986,65.773155,"cilantro, pepper, parsley, lemon juice, tatsoi, olive oil, kale, onions, chili, cheese, chicken thighs, tortilla, tomatoes, cucumbers, salt, garlic","cheese, chicken thighs, chili, cilantro, cucumbers, garlic, kale, lemon juice, olive oil, onions, parsley, pepper, salt, tatsoi, tomatoes, tortilla"
dish_1558463113,63.579998,139,0.321,14.696001,1.743,"white rice, grapes, cherry tomatoes, spinach (raw)","cherry tomatoes, grapes, spinach (raw), white rice"
dish_1559678330,169.694122,150,16.186766,5.269608,3.199019,"olive oil, spinach (raw), vinegar, tomatoes, garlic, cucumbers, salt, mustard, mustard greens","cucumbers, garlic, mustard, mustard greens, olive oil, salt, spinach (raw), tomatoes, vinegar"
dish_1562691000,326.621704,349,17.551828,27.178827,16.56134,"olive oil, pineapple, berries, broccoli, scrambled eggs","berries, broccoli, olive oil, pineapple, scrambled eggs"
dish_1563908996,269.916046,293,10.461833,15.449356,29.324974,"onions, olive oil, pepper, tomatoes, caesar salad, bell peppers, chicken, millet, salt, garlic, green beans, jalapenos, spinach (raw)","bell peppers, caesar salad, chicken, garlic, green beans, jalapenos, millet, olive oil, onions, pepper, salt, spinach (raw), tomatoes"
dish_1563389079,50.428173,119,0.961533,10.105691,1.918856,"broccoli, pepper, olive oil, carrot, salt","broccoli, carrot, olive oil, pepper, salt"
