Food code,Main food description,Food description
11000000,"Milk, human","The image shows the food category of milk, human."
11100000,"Milk, not further specified subcategory assigned","The image shows the food category of milk, not further specified subcategory assigned."
11111000,"Milk, whole","The image shows the food category of milk, whole. Additional details include 3.5% or 3.8% fat milk; leche fresca."
11112110,"Milk, reduced fat (2%)","The image shows the food category of milk, reduced fat (2%). Additional details include hi-Protein milk; fortified milk; 1.5% fat milk."
11112210,"Milk, low fat (1%)","The image shows the food category of milk, low fat (1%)."
11113000,"Milk, fat free (skim)","The image shows the food category of milk, fat free (skim). Additional details include nonfat milk; 0.5% or less fat."
11114300,"Milk, lactose free, low fat (1%)","The image shows the food category of milk, lactose free, low fat (1%). Additional details include lactaid; Lactaid, not specified subcategory as to fat content; lactose reduced."
11114320,"Milk, lactose free, fat free (skim)","The image shows the food category of milk, lactose free, fat free (skim). Additional details include lactaid; nonfat milk; lactose reduced."
11114330,"Milk, lactose free, reduced fat (2%)","The image shows the food category of milk, lactose free, reduced fat (2%). Additional details include lactaid; lactose reduced."
11114350,"Milk, lactose free, whole","The image shows the food category of milk, lactose free, whole. Additional details include lactaid whole milk; lactose reduced."
11115000,"Buttermilk, fat free (skim)","The image shows the food category of buttermilk, fat free (skim). Additional details include nonfat buttermilk."
11115300,"Buttermilk, whole","The image shows the food category of buttermilk, whole."
11115400,"Kefir, not specified subcategory as to fat content","The image shows the food category of kefir, not specified subcategory as to fat content. Additional details include fermented milk drink; plain; all flavors; Yukult."
11116000,"Goat's milk, whole","The image shows the food category of goat's milk, whole."
11120000,"Milk, dry, reconstituted, not specified subcategory as to fat content","The image shows the food category of milk, dry, reconstituted, not specified subcategory as to fat content."
11121100,"Milk, dry, reconstituted, whole","The image shows the food category of milk, dry, reconstituted, whole."
11121210,"Milk, dry, reconstituted, low fat (1%)","The image shows the food category of milk, dry, reconstituted, low fat (1%)."
11121300,"Milk, dry, reconstituted, fat free (skim)","The image shows the food category of milk, dry, reconstituted, fat free (skim). Additional details include nonfat milk."
11210050,"Milk, evaporated, not specified subcategory as to fat content","The image shows the food category of milk, evaporated, not specified subcategory as to fat content."
11211050,"Milk, evaporated, whole","The image shows the food category of milk, evaporated, whole."
11211400,"Milk, evaporated, reduced fat (2%)","The image shows the food category of milk, evaporated, reduced fat (2%)."
11212050,"Milk, evaporated, fat free (skim)","The image shows the food category of milk, evaporated, fat free (skim). Additional details include nonfat milk."
11220000,"Milk, condensed, sweetened","The image shows the food category of milk, condensed, sweetened."
11300100,"Non-dairy milk, not further specified subcategory assigned","The image shows the food category of non-dairy milk, not further specified subcategory assigned."
11320000,Soy milk,The image shows the food category of soy milk. Additional details include edensoy; vanilla flavored; Silk; West Soy; Soymilk; not specified subcategory as to type; Vitasoy.
11320100,"Soy milk, light","The image shows the food category of soy milk, light. Additional details include vanilla flavored; Silk; Vitasoy; West Soy; Soymilk."
11320200,"Soy milk, nonfat","The image shows the food category of soy milk, nonfat. Additional details include vanilla flavored; West Soy; Soymilk."
11321000,"Soy milk, chocolate","The image shows the food category of soy milk, chocolate. Additional details include silk; Belsoy; Soymilk."
11321100,"Soy milk, light, chocolate","The image shows the food category of soy milk, light, chocolate. Additional details include silk; Vitasoy; Soymilk."
11350000,"Almond milk, sweetened","The image shows the food category of almond milk, sweetened. Additional details include vanilla flavored; not specified subcategory as to sweetened; cashew."
11350010,"Almond milk, sweetened, chocolate","The image shows the food category of almond milk, sweetened, chocolate. Additional details include not specified subcategory as to sweetened; cashew."
11350020,"Almond milk, unsweetened","The image shows the food category of almond milk, unsweetened. Additional details include unsweetened vanilla; flavors other than chocolate; cashew."
11350030,"Almond milk, unsweetened, chocolate","The image shows the food category of almond milk, unsweetened, chocolate. Additional details include blue Diamond Almond Breeze; Silk PureAlmond; Almond Dream."
11360000,Rice milk,The image shows the food category of rice milk. Additional details include rice Dream beverage.
11370000,Coconut milk,The image shows the food category of coconut milk. Additional details include silk PureCoconut beverage; So Delicious.
11400000,"Yogurt, not further specified subcategory assigned","The image shows the food category of yogurt, not further specified subcategory assigned."
11400010,"Yogurt, Greek, not specified subcategory as to type of milk or flavor","The image shows the food category of yogurt, Greek, not specified subcategory as to type of milk or flavor."
11410000,"Yogurt, not specified subcategory as to type of milk or flavor","The image shows the food category of yogurt, not specified subcategory as to type of milk or flavor."
11411010,"Yogurt, not specified subcategory as to type of milk, plain","The image shows the food category of yogurt, not specified subcategory as to type of milk, plain."
11411100,"Yogurt, whole milk, plain","The image shows the food category of yogurt, whole milk, plain."
11411200,"Yogurt, low fat milk, plain","The image shows the food category of yogurt, low fat milk, plain. Additional details include 1% fat; 2% fat; 99% fat free; light."
11411300,"Yogurt, nonfat milk, plain","The image shows the food category of yogurt, nonfat milk, plain. Additional details include 0% fat; fat free; light; light, not further specified subcategory assigned."
11411390,"Yogurt, Greek, not specified subcategory as to type of milk, plain","The image shows the food category of yogurt, Greek, not specified subcategory as to type of milk, plain."
11411400,"Yogurt, Greek, whole milk, plain","The image shows the food category of yogurt, Greek, whole milk, plain."
11411410,"Yogurt, Greek, low fat milk, plain","The image shows the food category of yogurt, Greek, low fat milk, plain. Additional details include 2% fat; 1% fat; 99% fat free; light."
11411420,"Yogurt, Greek, nonfat milk, plain","The image shows the food category of yogurt, Greek, nonfat milk, plain. Additional details include 0% fat; fat free; light; light, not further specified subcategory assigned."
11430000,"Yogurt, not specified subcategory as to type of milk, fruit","The image shows the food category of yogurt, not specified subcategory as to type of milk, fruit."
11431000,"Yogurt, whole milk, fruit","The image shows the food category of yogurt, whole milk, fruit."
11432000,"Yogurt, low fat milk, fruit","The image shows the food category of yogurt, low fat milk, fruit. Additional details include go-Gurt Portable Yogurt tube; 1% fat; 2% fat; 99% fat free; light."
11433000,"Yogurt, nonfat milk, fruit","The image shows the food category of yogurt, nonfat milk, fruit. Additional details include 0% fat; fat free; light; light, not further specified subcategory assigned."
11433990,"Yogurt, Greek, not specified subcategory as to type of milk, fruit","The image shows the food category of yogurt, Greek, not specified subcategory as to type of milk, fruit."
11434000,"Yogurt, Greek, whole milk, fruit","The image shows the food category of yogurt, Greek, whole milk, fruit."
11434010,"Yogurt, Greek, low fat milk, fruit","The image shows the food category of yogurt, Greek, low fat milk, fruit. Additional details include 2% fat; 1% fat; 99% fat free; light; Chobani Kids Greek Yogurt Tubes."
11434020,"Yogurt, Greek, nonfat milk, fruit","The image shows the food category of yogurt, Greek, nonfat milk, fruit. Additional details include 0% fat; fat free; light; light, not further specified subcategory assigned."
11434090,"Yogurt, not specified subcategory as to type of milk, flavors other than fruit","The image shows the food category of yogurt, not specified subcategory as to type of milk, flavors other than fruit."
11434100,"Yogurt, whole milk, flavors other than fruit","The image shows the food category of yogurt, whole milk, flavors other than fruit."
11434200,"Yogurt, low fat milk, flavors other than fruit","The image shows the food category of yogurt, low fat milk, flavors other than fruit. Additional details include 1% fat; 2% fat; 99% fat free; light; Go-Gurt Portable Yogurt tube."
11434300,"Yogurt, nonfat milk, flavors other than fruit","The image shows the food category of yogurt, nonfat milk, flavors other than fruit. Additional details include 0% fat; fat free; light; light, not further specified subcategory assigned."
11435000,"Yogurt, Greek, not specified subcategory as to type of milk, flavors other than fruit","The image shows the food category of yogurt, Greek, not specified subcategory as to type of milk, flavors other than fruit."
11435010,"Yogurt, Greek, whole milk, flavors other than fruit","The image shows the food category of yogurt, Greek, whole milk, flavors other than fruit."
11435020,"Yogurt, Greek, low fat milk, flavors other than fruit","The image shows the food category of yogurt, Greek, low fat milk, flavors other than fruit. Additional details include 1% fat; 2% fat; 99% fat free; light; Chobani Kids Greek Yogurt Tubes."
11435030,"Yogurt, Greek, nonfat milk, flavors other than fruit","The image shows the food category of yogurt, Greek, nonfat milk, flavors other than fruit. Additional details include 0% fat; fat free."
11435100,"Yogurt, Greek, with oats","The image shows the food category of yogurt, Greek, with oats. Additional details include all types; with granola."
11436000,"Yogurt, liquid","The image shows the food category of yogurt, liquid. Additional details include all types and flavors."
11440010,"Chipotle dip, yogurt based","The image shows the food category of chipotle dip, yogurt based. Additional details include jalapeno dip; Southwest dip; greek yogurt based; regular or light."
11440030,"Onion dip, yogurt based","The image shows the food category of onion dip, yogurt based. Additional details include french onion dip; toasted onion dip; green onion dip; greek yogurt based; regular or light."
11440040,"Ranch dip, yogurt based","The image shows the food category of ranch dip, yogurt based. Additional details include greek yogurt based; regular or light."
11440050,"Spinach dip, yogurt based","The image shows the food category of spinach dip, yogurt based. Additional details include greek yogurt based; regular or light."
11440060,Tzatziki dip,The image shows the food category of tzatziki dip. Additional details include greek dip.
