FileName,PortionType,FoodCodeCommon,FC_Description,Portion,Multiplier,Rank,Link,GPTFoodDescription,GPTFoodCode,LabelAmount,LabelUnit,PortionShot,GPTPortionDescription,GPTPortionReason,GPTPortionAmount,GPTPortionAmountReason,PortionCode,PortionSubCode,BaseUnit,FoodCode,Portion weight (g),CalculatedWeight,CalculatedWeightGPT,Energy (kcal),Energy (kcal)_GPT,Protein (g),Protein (g)_GPT,Carbohydrate (g),Carbohydrate (g)_GPT,Total Fat (g),Total Fat (g)_GPT
042108437.png,largest,91101010,"Sugar, white, granulated or lump",6 teaspoons,6.0,5,https://asa24.nci.nih.gov/images/042108437.png,"The image shows spoons/utensils, not a food item.",,6.0,teaspoon,"6 teaspoons ,5 teaspoons ,4 teaspoons ,3 teaspoons ,2 teaspoons ,1 teaspoon ,1 lump ,1 individual packet ,1 cube",6 teaspoons,,6,,22000.0,0.0,teaspoon,91101010.0,4.2,25.200000000000003,25.200000000000003,101.052,101.052,0.0,0.0,25.0992,25.0992,0.08064000000000002,0.08064000000000002
101309118.png,largest,75113000,"Lettuce, raw",4 cups,4.0,8,https://asa24.nci.nih.gov/images/101309118.png,Cooked chopped green cabbage — likely sautéed or stir-fried (lightly cooked).,['75211031'],4.0,cup,"4 cups ,3-1/2 cups ,3 cups ,2-1/2 cups ,2 cups ,1-1/2 cups ,1 cup ,1 whole vegetable ,1 whole vegetable ,1 leaf ,1 whole vegetable ,1 whole vegetable ,1 leaf ,1 leaf ,1 leaf ,1 leaf ,1 leaf ,1 leaf ,1 head ,1 head ,1 head ,1 head ,1 head ,1 leaf ,1 head ,1 head ,1 leaf ,1 head ,1 head ,7/8 head ,7/8 head ,1 whole vegetable ,1 head ,1 whole vegetable ,1 head ,7/8 head ,1 head ,1 head ,1 whole vegetable ,1 head ,3/4 head ,1 whole vegetable ,3/4 head ,1 head ,3/4 head ,1 head ,1 head ,5/8 head ,5/8 head ,5/8 head ,1 whole vegetable ,1 head ,1 whole vegetable ,1/2 head ,1 leaf ,1/2 head ,1/2 head ,1 leaf ,1 head ,1 whole vegetable ,1 leaf ,1/2 cup ,1 whole vegetable ,1 head ,1 head ,3/8 head ,3/8 head ,3/8 head ,1 head ,1 head ,1 head ,1 whole vegetable ,1 whole vegetable ,1 head ,1 head ,1 whole vegetable ,1 whole vegetable ,1 head ,1/4 head ,1/4 head ,1/4 head ,1 head ,1/8 head ,1 whole vegetable ,1 head ,1 whole vegetable ,1/8 head ,1 head ,1/8 head ,1 head ,1 head ,1 whole vegetable ,1 whole vegetable ,1 head",1 cup,,1,,10160.0,0.0,cup,75113000.0,35.0,140.0,35.0,19.6,4.9,1.5819999999999999,0.39549999999999996,4.088,1.022,0.196,0.049
042908424.png,largest,74401010,Ketchup,1 packet,1.0,9,https://asa24.nci.nih.gov/images/042908424.png,Tomato ketchup — a bottled tomato-based condiment (squeeze-style ketchup).,['74401010'],1.0,packet,"1 packet ,1/2 cup ,1/3 cup ,1/4 cup ,3 tablespoons ,2 tablespoons ,1 tablespoon",1 packet,,I can't help to analyze this image.,The image is too small and low-resolution to reliably count the ketchup packets.,,,packet,74401010.0,10.0,10.0,,10.9,,0.10800000000000001,,2.71,,0.032,
092607118.png,largest,71401030,"Potato, french fries, fast food",2 cups,2.0,13,https://asa24.nci.nih.gov/images/092607118.png,Mini breaded fried onion rings.,['75415022'],2.0,cup,"2 cups ,2 cups ,2 cups ,2 cups ,1-3/4 cups ,1-3/4 cups ,1-3/4 cups ,1-3/4 cups ,1-1/2 cups ,1-1/2 cups ,1-1/2 cups ,1-1/2 cups ,1-1/4 cups ,1-1/4 cups ,1-1/4 cups ,1-1/4 cups ,1 medium fast food order ,1 cup ,1 cup ,1 large fast food order ,1 cup ,1 medium fast food order ,1 large fast food order ,1 super size fast food order ,1 super size fast food order ,1 medium fast food order ,1 cup ,1 super size fast food order ,1 medium fast food order ,1 medium fast food order ,1 small fast food order ,1 small fast food order ,1 large fast food order ,1 small fast food order ,3/4 cup ,3/4 cup ,3/4 cup ,3/4 cup ,1 large fast food order ,1/2 cup ,1/2 cup ,1 small fast food order ,1/2 cup ,1 medium fast food order ,1 super size fast food order ,1/2 cup ,1/4 cup ,1/4 cup ,1/4 cup ,1/4 cup ,1 piece ,1 piece ,1 piece ,1 piece ,1 piece ,1 piece ,1 piece ,1/4 cup ,1/4 cup ,1/4 cup ,1/4 cup",1 cup,,1,,,,cup,71401030.0,60.0,120.0,60.0,374.40000000000003,187.20000000000002,4.1160000000000005,2.0580000000000003,49.727999999999994,24.863999999999997,17.676000000000002,8.838000000000001
113096.png,largest,83107000,"Mayonnaise, regular",6 tablespoons,6.0,14,https://asa24.nci.nih.gov/images/113096.png,Light beige powdered flour — most likely all-purpose (wheat) flour.,['56207030'],6.0,tablespoon,"6 tablespoons ,5 tablespoons ,4 tablespoons ,3 tablespoons ,2 tablespoons ,1 packet ,1 tablespoon ,2 teaspoons ,1 teaspoon",6 tablespoons,,6,,21000.0,0.0,tablespoon,83107000.0,13.8,82.80000000000001,82.80000000000001,563.0400000000001,563.0400000000001,0.7948800000000001,0.7948800000000001,0.47196000000000005,0.47196000000000005,61.9758,61.9758
052109121.png,largest,51101000,"Bread, white",1 slice,19.643,15,https://asa24.nci.nih.gov/images/052109121.png,A single slice of plain white sandwich bread (untoasted).,['51101000'],1.0,slice,"1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,3/4 slice ,1 slice ,3/4 slice ,1 slice ,1 slice ,3/4 slice ,1 slice ,1 slice ,1 slice ,1 slice ,3/4 slice ,1 slice ,1 slice ,3/4 slice ,1/2 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1/2 slice ,1 slice ,3/4 slice ,1 slice ,1 slice ,1/2 slice ,1 slice ,1 slice ,1/2 slice ,1 slice ,1 slice ,3/4 slice ,1 slice ,3/4 slice ,1 slice ,3/4 slice ,1 slice ,1/2 slice ,1 slice ,1/2 slice ,1/4 slice ,1 slice ,1/2 slice ,1 slice ,1 slice ,1/2 slice ,1 slice ,1/4 slice ,1/2 slice ,1/4 slice ,1 slice ,1 slice ,1 slice ,1/4 slice ,1 slice ,1/4 slice ,1/4 slice ,1 slice ,1 slice ,1 slice ,1/4 slice ,1/4 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1/4 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,3/4 slice ,1 slice ,3/4 slice ,3/4 slice ,1 slice ,3/4 slice ,1 slice ,1/2 slice ,1 slice ,1 slice ,1 slice ,1/2 slice ,1/2 slice ,1/2 slice ,1/4 slice ,1/4 slice ,1 slice ,1/4 slice ,1/4 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice",1 slice,,1,,51000.0,0.0,slice,51101000.0,10.0,10.0,10.0,26.7,26.7,0.943,0.943,4.92,4.92,0.359,0.359
052109121.png,largest,51101000,"Bread, white",1 slice,19.643,15,https://asa24.nci.nih.gov/images/052109121.png,A single slice of plain white sandwich bread (untoasted).,['51101000'],1.0,slice,"1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,3/4 slice ,1 slice ,3/4 slice ,1 slice ,1 slice ,3/4 slice ,1 slice ,1 slice ,1 slice ,1 slice ,3/4 slice ,1 slice ,1 slice ,3/4 slice ,1/2 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1/2 slice ,1 slice ,3/4 slice ,1 slice ,1 slice ,1/2 slice ,1 slice ,1 slice ,1/2 slice ,1 slice ,1 slice ,3/4 slice ,1 slice ,3/4 slice ,1 slice ,3/4 slice ,1 slice ,1/2 slice ,1 slice ,1/2 slice ,1/4 slice ,1 slice ,1/2 slice ,1 slice ,1 slice ,1/2 slice ,1 slice ,1/4 slice ,1/2 slice ,1/4 slice ,1 slice ,1 slice ,1 slice ,1/4 slice ,1 slice ,1/4 slice ,1/4 slice ,1 slice ,1 slice ,1 slice ,1/4 slice ,1/4 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1/4 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,3/4 slice ,1 slice ,3/4 slice ,3/4 slice ,1 slice ,3/4 slice ,1 slice ,1/2 slice ,1 slice ,1 slice ,1 slice ,1/2 slice ,1/2 slice ,1/2 slice ,1/4 slice ,1/4 slice ,1 slice ,1/4 slice ,1/4 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice",1 slice,,1,,90000.0,0.0,slice,51101000.0,10.0,10.0,10.0,26.7,26.7,0.943,0.943,4.92,4.92,0.359,0.359
071602103.png,largest,63123000,"Grapes, raw",1 cup,1.0,22,https://asa24.nci.nih.gov/images/071602103.png,Green grapes (table grapes).,['63123000'],1.0,cup,"1 cup ,1 fruit ,3/4 cup ,1/2 cup ,1/4 cup",1 cup,,0.5,,,,cup,63123000.0,150.0,150.0,75.0,103.5,51.75,1.08,0.54,27.150000000000002,13.575000000000001,0.24,0.12
042908424.png,largest,74402150,"Salsa, red",1 packet,1.0,25,https://asa24.nci.nih.gov/images/042908424.png,Tomato ketchup — a commercial bottled tomato ketchup.,['74401010'],1.0,packet,"1 packet ,1/2 cup ,1/3 cup ,1/4 cup ,3 tablespoons ,2 tablespoons ,1 tablespoon",1 packet,,1,,,,packet,74402150.0,9.0,9.0,9.0,3.06,3.06,0.1296,0.1296,0.6066,0.6066,0.0171,0.0171
052809113.png,largest,51301010,"Bread, wheat or cracked wheat",1 slice,19.643,26,https://asa24.nci.nih.gov/images/052809113.png,Toasted bread — a small slice of bread toasted (likely a baguette slice/crostini).,['51136000'],1.0,slice,"1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,3/4 slice ,1 slice ,3/4 slice ,1 slice ,1 slice ,1 slice ,3/4 slice ,1 slice ,1 slice ,1 slice ,3/4 slice ,1 slice ,3/4 slice ,1/2 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1/2 slice ,1 slice ,3/4 slice ,1/2 slice ,1 slice ,1 slice ,1 slice ,1/2 slice ,1 slice ,3/4 slice ,1 slice ,3/4 slice ,1 slice ,3/4 slice ,1 slice ,1 slice ,1/2 slice ,1 slice ,1/2 slice ,1/4 slice ,1 slice ,1 slice ,1/2 slice ,1 slice ,1/2 slice ,1/4 slice ,1 slice ,1/2 slice ,1 slice ,1 slice ,1/4 slice ,1 slice ,1/4 slice ,1 slice ,1/4 slice ,1/4 slice ,1 slice ,1 slice ,1/4 slice ,1 slice ,1/4 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1/4 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,3/4 slice ,1 slice ,1 slice ,3/4 slice ,3/4 slice ,1 slice ,1/2 slice ,1/2 slice ,1 slice ,1/2 slice ,1 slice ,1/4 slice ,1/4 slice ,1 slice ,1 slice ,1/4 slice ,1 slice ,1 slice ,1 slice ,1 slice",1 slice,,1,,51000.0,0.0,slice,51301010.0,10.0,10.0,10.0,27.400000000000002,27.400000000000002,1.067,1.067,4.754,4.754,0.45300000000000007,0.45300000000000007
