FileName,PortionType,FoodCodeCommon,Main Food description,Portion,Multiplier,Rank,PortionCode,PortionSubCode,Link,GPTFoodDescription,GPTFoodCode,retrieval_score_avg,retrieval_score_top1,retrieval_score_spread
cp_42fo.png,largest,94000100,"Water, tap",42 FO,42,0,30000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/cp_42fo.png,Appears to be a disposable beverage cup (foam or paper cup) — no food is visible.,['92101900'],0.925412581,0.705152333,0.104016426
tcup_6fo.png,median,94000100,"Water, tap",6 FO,6,0,30000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/tcup_6fo.png,No food is visible. The image appears to show an empty porcelain/ceramic teacup with a blue floral/scroll pattern.,['92302000'],1.12072463,0.930023193,0.06708404
mug_2fo.png,smallest,94000100,"Water, tap",2 FO,0.1,0,30000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/mug_2fo.png,Appears to be a plain white ceramic mug (likely used for coffee or tea); contents not visible.,['92101000'],1.039035492,0.804707468,0.115377969
cp_42fo.png,largest,94100100,"Water, bottled, plain",42 FO,42,1,30000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/cp_42fo.png,"This doesn't appear to be food — it looks like a disposable foam or paper cup, white with a purple hexagonal (honeycomb) pattern.",['11460000'],1.045209816,0.741176367,0.0864781
glsstall_12fo.png,median,94100100,"Water, bottled, plain",12 FO,6,1,30000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/glsstall_12fo.png,"Appears to be an empty clear tall drinking glass (e.g., a highball/Collins glass) — no food visible.",['93301150'],1.187776027,0.976827323,0.099832598
mug_2fo.png,smallest,94100100,"Water, bottled, plain",2 FO,0.1,1,30000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/mug_2fo.png,This appears to be a white ceramic mug on a blue background — no food is visible in the image.,['92101000'],1.052540973,0.868518412,0.096228762
cp_42fo.png,largest,92101000,"Coffee, brewed",42 FO,42,2,30000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/cp_42fo.png,This doesn't appear to be food. It likely shows a disposable foam (Styrofoam) drinking cup with a purple hexagonal/geometric pattern.,['11512010'],1.098977444,0.842982471,0.073795426
wglss_8fo.png,median,92101000,"Coffee, brewed",8 FO,4.8,2,30000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/wglss_8fo.png,"This appears to be a clear, empty stemmed wine glass (likely a white-wine or general-purpose wine glass), not a food item.",['93401020'],1.220473087,0.943888128,0.11321369
mug_2fo.png,smallest,92101000,"Coffee, brewed",2 FO,0.1,2,30000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/mug_2fo.png,Appears to be an empty white ceramic mug (coffee/tea cup). No visible food or beverage inside.,['92101000'],1.042865228,0.797200143,0.096333561
cp_42fo.png,largest,11112110,"Milk, reduced fat (2%)",42 FO,42,3,30000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/cp_42fo.png,"Likely a disposable foam (polystyrene) beverage cup — a single-use cup with a purple hexagonal/polka pattern (e.g., a Styrofoam or paper hot/cold cup).",['92101000'],1.03269512,0.780945659,0.136510222
mlkbottle_11fo.png,median,11112110,"Milk, reduced fat (2%)",11 FO,4.4,3,30000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/mlkbottle_11fo.png,Appears to be a small plastic bottle of a dairy drink—likely plain milk or a single‑serve drinking yogurt/kefir.,"['11115400', '11436000']",1.009177498,0.838543773,0.075012077
121807120.png,smallest,11112110,"Milk, reduced fat (2%)",1 tablespoon,0.0625,3,10205,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/121807120.png,"Appears to be a small ceramic spoon holding a white liquid — likely milk or light cream (could also be coconut milk, plain yogurt, or sweetened condensed milk).",['12210200'],1.035565177,0.803262472,0.072082023
cp_42fo.png,largest,11111000,"Milk, whole",42 FO,42,4,30000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/cp_42fo.png,Appears to be a disposable foam (polystyrene/Styrofoam) cup with a purple hex-pattern design — not a food item. Likely a single-use beverage cup.,['92101000'],1.129919171,1.024087071,0.036387083
cp_42fo.png,median,11111000,"Milk, whole",42 FO,4.2,4,30000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/cp_42fo.png,"Appears to be a disposable beverage cup — likely a polystyrene/ paper fast‑food drink cup with a purple patterned print, not a food item.",['92410310'],0.904769425,0.697923124,0.136444576
121807120.png,smallest,11111000,"Milk, whole",1 tablespoon,0.0625,4,10205,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/121807120.png,"Appears to be a white liquid/dairy product — likely milk or cream (e.g., whole milk, heavy cream, or possibly coconut milk).",['12100100'],1.040339529,0.840930641,0.06165059
042108437.png,largest,91101010,"Sugar, white, granulated or lump",6 teaspoons,6,5,22000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/042108437.png,This does not appear to be food. It looks like white disposable plastic spreader/ butter/cheese knives — likely a set of plastic spreader utensils.,['81101000'],1.119085897,0.825410068,0.088645231
042108441.png,median,91101010,"Sugar, white, granulated or lump",2 teaspoons,2,5,22000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/042108441.png,Appears to be peeled garlic cloves — likely common (softneck/standard) garlic; exact variety can't be determined from the image.,['75111500'],1.299168698,0.901218295,0.117907265
