Unnamed: 0,FileName,PortionType,FoodCode,Main Food description,Portion,Multiplier,Rank,PortionCode,PortionSubCode,Link,GPTFoodDescription,GPTFoodCode,retrieval_score_avg,retrieval_score_top1,retrieval_score_spread,LabelAmount,LabelUnit,PortionShot,GPTPortionDescription,GPTPortionReason,GPTPortionAmount,GPTPortionAmountReason,BaseUnit,Portion weight (g),CalculatedWeight,CalculatedWeightGPT,Energy (kcal),Energy (kcal)_GPT,Protein (g),Protein (g)_GPT,Carbohydrate (g),Carbohydrate (g)_GPT,Total Fat (g),Total Fat (g)_GPT
15,042108437.png,largest,91101010,"Sugar, white, granulated or lump",6 teaspoons,6.0,5,22000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/042108437.png,This does not appear to be food. It looks like white disposable plastic spreader/ butter/cheese knives — likely a set of plastic spreader utensils.,['81101000'],1.1190858965118726,0.8254100680351257,0.0886452310442601,6.0,teaspoon,"6 teaspoons ,5 teaspoons ,4 teaspoons ,3 teaspoons ,2 teaspoons ,1 teaspoon ,1 lump ,1 cube ,1 individual packet",6 teaspoons,,0,,teaspoon,4.2,25.200000000000003,0.0,101.052,0.0,0.0,0.0,25.0992,0.0,0.08064,0.0
16,042108441.png,median,91101010,"Sugar, white, granulated or lump",2 teaspoons,2.0,5,22000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/042108441.png,Appears to be peeled garlic cloves — likely common (softneck/standard) garlic; exact variety can't be determined from the image.,['75111500'],1.299168698489666,0.9012182950973512,0.1179072648535253,2.0,teaspoon,"6 teaspoons ,5 teaspoons ,4 teaspoons ,3 teaspoons ,2 teaspoons ,1 teaspoon ,1 lump ,1 cube ,1 individual packet",1 teaspoon,,1,,teaspoon,4.2,8.4,4.2,33.684000000000005,16.842000000000002,0.0,0.0,8.3664,4.1832,0.02688,0.01344
17,111903053.png,smallest,91101010,"Sugar, white, granulated or lump",1 cube,0.5,5,61178,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/111903053.png,"Likely a small bowl or cup with a pale liquid (milk, cream, or thin yogurt) and a small white cube in the center — possibly a sugar cube, a small piece of soft tofu, or a cube of butter.",['41420010'],1.0925572743018468,1.0164568424224854,0.03631892783735,1.0,cube,"6 teaspoons ,5 teaspoons ,4 teaspoons ,3 teaspoons ,2 teaspoons ,1 teaspoon ,1 lump ,1 cube ,1 individual packet",1 cube,,1,,cube,2.3,2.3,2.3,9.223,9.223,0.0,0.0,2.2907999999999995,2.2907999999999995,0.00736,0.00736
22,031103263.png,median,63107010,"Banana, raw",3/4 cup,0.75,7,10010,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/031103263.png,"Appears to be sliced banana (banana rounds), likely from a ripe Cavendish-type banana.",['63107010'],1.1061621521910032,0.8907321691513062,0.0787053407627924,0.75,cup,"1/4 cup ,1/2 cup ,3/4 cup ,1 cup ,1 medium peeled ,3/4 peeled ,1/2 peeled ,1/4 peeled ,1 slice ,1 extra small fruit ,1 small ,1 medium ,1 large ,1 extra large fruit",1/2 cup,,,,cup,150.0,112.5,,109.125,,0.8325,,25.54875,,0.315,
24,101309118.png,largest,75113000,"Lettuce, raw",4 cups,4.0,8,10160,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/101309118.png,Likely cooked chopped green cabbage — appears to be sautéed/stir‑fried or lightly steamed (simple oil/butter or minimal seasoning).,['75211030'],1.0514194518327713,0.7607717514038086,0.1006383843478591,4.0,cup,"1 leaf ,1 head ,7/8 head ,3/4 head ,5/8 head ,1/2 head ,3/8 head ,1/4 head ,1/8 head ,1/2 cup ,1 cup ,1-1/2 cups ,2 cups ,2-1/2 cups ,3 cups ,3-1/2 cups ,4 cups ,1 whole vegetable",1 cup,,1,,cup,35.0,140.0,35.0,19.6,4.9,1.582,0.3954999999999999,4.088,1.022,0.196,0.049
25,101309105.png,median,75113000,"Lettuce, raw",5/8 head,0.625,8,61018,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/101309105.png,Likely a wedge of iceberg lettuce — a quarter/half-head iceberg lettuce wedge on a plate.,['75113000'],1.1759199192126593,1.0309563875198364,0.0647989610221828,0.625,head,"1 leaf ,1 head ,7/8 head ,3/4 head ,5/8 head ,1/2 head ,3/8 head ,1/4 head ,1/8 head ,1/2 cup ,1 cup ,1-1/2 cups ,2 cups ,2-1/2 cups ,3 cups ,3-1/2 cups ,4 cups ,1 whole vegetable",1/4 head,,0.25,,head,539.0,336.875,134.75,47.1625,18.865,3.8066875,1.5226749999999998,9.83675,3.9347,0.471625,0.18865
27,042908424.png,largest,74401010,Ketchup,1 packet,1.0,9,61573,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/042908424.png,Appears to be a bottle of tomato ketchup — likely a commercial squeeze bottle (possibly a Heinz-style ketchup).,['74401010'],1.0809031461675962,0.8863206505775452,0.0732284055767246,1.0,packet,"1 packet ,1 tablespoon ,2 tablespoons ,3 tablespoons ,1/4 cup ,1/3 cup ,1/2 cup",I can't help to analyze this image.,"The photo shows a commercial ketchup bottle (and is low-resolution); it doesn't show a measured serving or dispensed amount, so the portion size cannot be determined.",2,,packet,10.0,10.0,20.0,10.9,21.8,0.108,0.216,2.71,5.42,0.032,0.064
28,113097c.png,median,74401010,Ketchup,1/4 cup,0.25,9,10205,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/113097c.png,Looks like a red sauce in a small white measuring cup — likely tomato-based (ketchup or marinara) or possibly a red fruit coulis/jam; exact variety uncertain.,['74401010'],1.0860353961586953,0.8510465621948242,0.1134887161034919,0.25,cup,"1 packet ,1 tablespoon ,2 tablespoons ,3 tablespoons ,1/4 cup ,1/3 cup ,1/2 cup",1 tablespoon,,0.25,,cup,272.0,68.0,68.0,74.12,74.12,0.7343999999999999,0.7343999999999999,18.428,18.428,0.2176,0.2176
29,113091c.png,smallest,74401010,Ketchup,1 tablespoon,0.0625,9,10205,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/113091c.png,"Appears to be a spoonful of a red condiment — likely tomato ketchup or a red chili/tomato sauce (e.g., ketchup or chili paste).",['74401010'],1.1294213434060414,0.8853868246078491,0.0780920285563133,1.0,tablespoon,"1 packet ,1 tablespoon ,2 tablespoons ,3 tablespoons ,1/4 cup ,1/3 cup ,1/2 cup",1 tablespoon,,1,,tablespoon,17.0,17.0,17.0,18.53,18.53,0.1835999999999999,0.1835999999999999,4.607,4.607,0.0544,0.0544
34,072402250.png,median,63101000,"Apple, raw",3/4 medium,0.75,11,62016,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/072402250.png,"Appears to be raw red apple slices — likely a common eating apple variety such as Gala or Fuji (fresh, simply cut).",['63101000'],1.100802831351757,0.9222224950790404,0.0742945871982219,0.75,medium,"3/4 medium ,1/2 medium ,1/4 medium ,1 slice ,1/4 cup ,1/2 cup ,3/4 cup ,1 cup ,1 medium size ,1 large size ,1 small whole fruit",3/4 medium,,,,medium,200.0,150.0,,91.5,,0.255,,22.2,,0.225,
39,092607118.png,largest,71401030,"Potato, french fries, fast food",2 cups,2.0,13,10324,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/092607118.png,"Likely an onion‑flavored, ring‑shaped puffed corn snack (e.g., Funyuns or similar extruded onion rings) — a crunchy, fried/ puffed snack rather than battered onion rings.",['54406010'],1.0282370671629906,0.6788381934165955,0.0795077390826493,2.0,cup,"1/4 cup ,1/2 cup ,3/4 cup ,1 cup ,1-1/4 cups ,1-1/2 cups ,1-3/4 cups ,2 cups ,1 medium fast food order ,1 super size fast food order ,1 piece ,1 small fast food order ,1 large fast food order",1 cup,,0.33,,cup,60.0,120.0,19.8,374.4,61.776,4.1160000000000005,0.6791400000000001,49.727999999999994,8.205119999999999,17.676000000000002,2.91654
42,113096.png,largest,83107000,"Mayonnaise, regular",6 tablespoons,6.0,14,21000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/113096.png,"Appears to be six measuring spoons each holding a light beige powder — likely a flour or fine ground ingredient (e.g., all‑purpose flour, almond meal, or finely ground breadcrumbs).",['99995000'],1.1753216261665027,0.9963377118110656,0.0621995381420084,6.0,tablespoon,"1 packet ,1 teaspoon ,2 teaspoons ,1 tablespoon ,2 tablespoons ,3 tablespoons ,4 tablespoons ,5 tablespoons ,6 tablespoons",6 tablespoons,,6,,tablespoon,13.8,82.80000000000001,82.80000000000001,563.0400000000001,563.0400000000001,0.7948800000000001,0.7948800000000001,0.47196,0.47196,61.9758,61.9758
43,113092.png,median,83107000,"Mayonnaise, regular",2 tablespoons,2.0,14,21000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/113092.png,Appears to be a pale beige powdered spice — likely ground ginger (ginger powder).,['75503085'],1.375436633825302,1.1479028463363647,0.0893423437428865,2.0,tablespoon,"1 packet ,1 teaspoon ,2 teaspoons ,1 tablespoon ,2 tablespoons ,3 tablespoons ,4 tablespoons ,5 tablespoons ,6 tablespoons",,,1,,tablespoon,13.8,27.6,13.8,187.68,93.84,0.26496,0.13248,0.15732,0.07866,20.658600000000003,10.329300000000002
45,052109121.png,largest,51101000,"Bread, white",1 slice,19.643,15,51000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/052109121.png,Appears to be a single slice of white sandwich bread — likely a soft loaf such as brioche or milk (Hokkaido-style) bread.,['51101000'],1.0834847494959832,0.910776436328888,0.0811933173744428,1.0,slice,"1 slice ,3/4 slice ,1/2 slice ,1/4 slice",1 slice,,1,,slice,10.0,10.0,10.0,26.7,26.7,0.943,0.943,4.92,4.92,0.359,0.359
46,052109117.png,median,51101000,"Bread, white",1 slice,3.1428,15,51000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/052109117.png,"Appears to be a single slice of bread—likely a white or country-style (sourdough/artisan) slice, lightly toasted.",['51133020'],0.9353053535024324,0.7805366516113281,0.0696602694771343,1.0,slice,"1 slice ,3/4 slice ,1/2 slice ,1/4 slice",1 slice,,1,,slice,10.0,10.0,10.0,26.7,26.7,0.943,0.943,4.92,4.92,0.359,0.359
53,113091a.png,smallest,75506010,Mustard,1 tablespoon,0.0625,20,10205,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/113091a.png,Likely ground turmeric (turmeric powder) in a measuring spoon — could also be ground mustard or a yellow curry powder.,['75506010'],1.3704238017400103,1.2079612016677856,0.0521770316634639,1.0,tablespoon,"1 packet ,1 teaspoon ,2 teaspoons ,1 tablespoon ,2 tablespoons ,3 tablespoons",1 teaspoon,,1,,tablespoon,15.0,15.0,15.0,10.35,10.35,0.6375000000000001,0.6375000000000001,0.795,0.795,0.507,0.507
57,071602103.png,largest,63123000,"Grapes, raw",1 cup,1.0,22,10010,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/071602103.png,"Appears to be a bowl of green table grapes — likely seedless (e.g., Thompson/Sultana-type) grapes.",['63123000'],1.2368803496162095,0.9505463242530824,0.06878050322002,1.0,cup,"1/4 cup ,1/2 cup ,3/4 cup ,1 cup ,1 fruit",,,,,cup,150.0,150.0,,103.5,,1.08,,27.15,,0.24,
58,071602102.png,median,63123000,"Grapes, raw",3/4 cup,0.75,22,10010,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/071602102.png,"Appears to be green table grapes — likely seedless varieties (e.g., Thompson/Perlette-style grapes).",['63123000'],1.1951984857519469,0.981685757637024,0.0648427778408462,0.75,cup,"1/4 cup ,1/2 cup ,3/4 cup ,1 cup ,1 fruit",3/4 cup,,,"Error code: 400 - {'error': {'message': 'Could not finish the message because max_tokens or model output limit was reached. Please try again with higher max_tokens.', 'type': 'invalid_request_error', 'param': None, 'code': None}}",cup,150.0,112.5,,77.625,,0.81,,20.362500000000004,,0.18,
59,071602100.png,smallest,63123000,"Grapes, raw",1/4 cup,0.25,22,10010,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/071602100.png,"Appears to be green grapes — likely seedless table grapes (e.g., Thompson or a similar variety).",['63123000'],1.2279841899871826,0.9509074687957764,0.0676580840481346,0.25,cup,"1/4 cup ,1/2 cup ,3/4 cup ,1 cup ,1 fruit",,,0.22,,cup,150.0,37.5,33.0,25.875,22.77,0.27,0.2375999999999999,6.7875000000000005,5.973000000000001,0.06,0.0528
